Date,Region,Season,Temperature,Humidity,Wind Speed,Atmospheric Pressure,Rainfall,Outlook,Windy,Play
2025-01-01,East,Winter,5.8,84.52611934098198,13.387195000559629,1014.7340478062173,9.3,Rainy,Weak,No
2025-01-02,West,Winter,9.7,88.42266795090279,8.530367990121869,1027.009366713727,0.0,Sunny,Weak,No
2025-01-03,North,Winter,7.3,65.4800622359865,21.231388877873506,1019.6033907054884,0.0,Sunny,Strong,No
2025-01-04,East,Winter,8.0,53.69873194480725,22.246745343066266,1007.3847707547008,0.0,Sunny,Strong,No
2025-01-05,East,Winter,2.6,71.89958214408675,2.0766849643333423,1004.8126826292131,0.3,Overcast,Weak,No
2025-01-06,West,Winter,6.0,54.834269453718406,8.49342397865313,1015.9353533720521,0.0,Sunny,Weak,No
2025-01-07,North,Winter,2.7,95.20080871289935,4.524295214369447,1001.4381343438349,17.3,Rainy,Weak,No
2025-01-08,North,Winter,5.2,67.04802996624106,10.449832459151713,1026.651670126835,3.0,Overcast,Weak,No
2025-01-09,East,Winter,14.9,59.52017673031837,14.415934211467475,1021.4355209657703,0.8,Overcast,Weak,Yes
2025-01-10,South,Winter,7.5,67.77020458797362,4.852483462110289,1008.2465947831623,0.0,Sunny,Weak,No
2025-01-11,East,Winter,8.1,44.793105657054554,8.546981308122808,998.294923767273,19.9,Rainy,Weak,No
2025-01-12,East,Winter,13.6,50.42578942234023,7.972298395429511,1022.8309789933234,0.0,Sunny,Weak,No
2025-01-13,East,Winter,14.7,83.00620861916639,16.450871305792607,1011.083681237979,0.0,Sunny,Weak,Yes
2025-01-14,East,Winter,7.8,55.14658581542906,15.485410359253754,1021.9025304957877,0.0,Sunny,Weak,Yes
2025-01-15,West,Winter,8.2,49.296335259770906,9.947837126639227,999.244578729645,0.0,Sunny,Weak,No
2025-01-16,North,Winter,5.2,73.04979128790929,16.237746104975784,1007.2049998163698,27.9,Rainy,Weak,No
2025-01-17,West,Winter,8.6,82.78556231994496,11.173239407889142,1012.0419495977454,1.9,Overcast,Weak,Yes
2025-01-18,West,Winter,7.7,75.784299659976,13.098414227717626,1012.375844750118,2.0,Overcast,Weak,No
2025-01-19,West,Winter,8.9,79.94071528708724,26.71416463208976,1008.399476228166,0.0,Sunny,Strong,No
2025-01-20,East,Winter,0.9,53.64807367145809,24.383227362532438,1016.9827994587799,0.0,Sunny,Strong,No
2025-01-21,South,Winter,13.2,43.67283999887235,5.902931341506816,1003.4590365649392,2.6,Rainy,Weak,Yes
2025-01-22,North,Winter,4.3,87.5200047793323,20.80812692515422,1010.8609641198296,28.3,Rainy,Strong,No
2025-01-23,South,Winter,11.4,60.15980241736796,20.679775881441145,1012.9623650536952,0.0,Sunny,Strong,No
2025-01-24,West,Winter,14.6,61.23750475317429,6.962156978731672,1016.11551067247,0.0,Sunny,Weak,Yes
2025-01-25,West,Winter,6.5,84.92291212773587,20.731443506284023,1017.6929190247112,10.4,Rainy,Strong,No
2025-01-26,South,Winter,9.9,73.3434501410099,25.765523428887867,1003.002863265297,41.6,Rainy,Strong,No
2025-01-27,South,Winter,16.7,71.83831658122412,7.142186356289103,999.727086634115,0.9,Overcast,Weak,Yes
