actual_class,predicted_class,fraud_probability
0,0,0.000126648698573384
0,0,0.00017204853067009617
0,0,0.010911410650019007
0,0,0.00010622409886225803
0,0,0.001393714168483861
0,0,0.00010921751504530589
0,0,0.00011903194913167617
0,0,0.0001149185945520696
0,0,0.00012200486164775376
0,0,0.00010736814176623029
0,0,0.00039362322727164157
0,0,0.0004815226626857357
0,0,0.00011066057291739869
0,0,0.00010352352024054333
0,0,0.00010528203070194633
0,0,0.00010595041876474838
0,0,0.00012724533728494312
0,0,0.00013038034323789309
0,0,0.00012420137651403737
0,0,0.0006716530797726173
0,0,0.0001274749197769154
0,0,0.00015445282086744668
0,0,0.0001051367778057006
0,0,0.0001119228709914252
0,0,0.00011547670761013369
0,0,0.00012618009363339562
0,0,0.0001019733293279163
0,0,0.00012392598330923562
0,0,0.00010816954719304486
0,0,0.00012602926473903104
0,0,0.0007118160375595719
0,0,0.0001564996962827473
0,0,0.00010626108158276897
0,0,0.0001416852984073824
0,0,0.00011121186348876443
0,0,0.0001267764408320064
0,0,0.0004551878429953508
0,0,0.0001440322661114236
0,0,0.00011010074355358062
0,0,0.00012593801060934335
0,0,0.00010612112144457945
0,0,0.00012431856103745502
0,0,0.00010575194494830535
0,0,0.00012950812841733877
0,0,0.0005680960692163793
0,0,0.00017444971329259193
0,0,0.0001494124133122618
0,0,0.000364297603901818
0,0,0.000501444393478872
0,0,0.0006274192119799814
0,0,0.00013022828540178443
0,0,0.0001124121345550422
0,0,0.00010434573754896155
0,0,0.00016853977328779463
0,0,0.00010471164731854464
0,0,0.0001525920105361418
0,0,0.0006984658745956148
0,0,0.00011119956503707194
0,0,0.00043175196173941176
0,0,0.00021735982566840296
0,0,0.00011798950314294679
0,0,0.00010608056874900606
0,0,0.0001037380506649178
0,0,0.00020471363805527653
0,0,0.047203870044824396
0,0,0.00015793123503026648
0,0,0.00022545296686656387
0,0,0.00012713837148903154
0,0,0.00010480644859756804
0,0,0.00010897127862672998
0,0,0.00010791941354009763
0,0,0.00011268833761697748
0,0,0.0001945939357532557
0,0,0.0002671135351795514
0,0,0.00021399554751692882
0,0,0.00011408242501017129
0,0,0.00011614550205030716
